Analyst Type,Job Title,Company Name,Rating,Job Location,Job State,Lower Salary USD,Upper Salary USD,Average Salary,Size,Founded,Type of ownership,Industry,Sector,Revenue
"Business Analyst","Senior Analyst, Business Intelligence (Looker BI)","CB Insights
",4.1,"New York"," NY",56000.0,102000.0,79000.0,"201 to 500",2009-01-01 00:00:00.000,"Private","Enterprise Software & Network Solutions","Information Technology","$25 to $50 million (USD)"
"Business Analyst","Business Systems Analyst","Amplify
",3.6,"Brooklyn"," NY",56000.0,102000.0,79000.0,"201 to 500",2010-01-01 00:00:00.000,"Private","K-12 Education","Education","$100 to $500 million (USD)"
"Business Analyst","Business Analyst","Efficio
",4.2,"New York"," NY",56000.0,102000.0,79000.0,"201 to 500",2000-01-01 00:00:00.000,"Private","Consulting","Business Services","$50 to $100 million (USD)"
"Business Analyst","Digital Analyst","Upfield
",3.1,"Hackensack"," NJ",56000.0,102000.0,79000.0,"1001 to 5000",1871-01-01 00:00:00.000,"Private","Food & Beverage Manufacturing","Manufacturing","Unknown / Non-Applicable"
"Business Analyst","Municipal Structured Products Analyst","Mesirow Financial
",3.7,"New York"," NY",56000.0,102000.0,79000.0,"501 to 1000",1937-01-01 00:00:00.000,"Private","Investment Banking & Asset Management","Finance","$100 to $500 million (USD)"
"Business Analyst","Senior Business Analyst","Visiting Nurse Service of New York
",3.8,"New York"," NY",56000.0,102000.0,79000.0,"10000+",1893-01-01 00:00:00.000,"Nonprofit Organization","Health Care Services & Hospitals","Health Care","$2 to $5 billion (USD)"
"Business Analyst","Business Analyst","NYSTEC
",3.8,"New York"," NY",56000.0,102000.0,79000.0,"51 to 200",1996-01-01 00:00:00.000,"Nonprofit Organization","Consulting","Business Services","$25 to $50 million (USD)"
"Business Analyst","Business Intelligence Analyst","Venmo
",3.4,"New York"," NY",56000.0,102000.0,79000.0,"51 to 200",2009-01-01 00:00:00.000,"Public","Financial Transaction Processing","Finance","Unknown / Non-Applicable"
"Business Analyst","Business Analyst - CRM","Jefferies Financial Group Inc.
",3.6,"New York"," NY",56000.0,102000.0,79000.0,"1001 to 5000",1962-01-01 00:00:00.000,"Public","Investment Banking & Asset Management","Finance","$2 to $5 billion (USD)"
"Business Analyst","Senior FP&A Analyst","Payoneer
",4.2,"New York"," NY",56000.0,102000.0,79000.0,"1001 to 5000",2005-01-01 00:00:00.000,"Private","Lending","Finance","$100 to $500 million (USD)"
"Business Analyst","Business Analyst","NBC Universal
",3.8,"New York"," NY",56000.0,102000.0,79000.0,"10000+",1906-01-01 00:00:00.000,"Public","TV Broadcast & Cable Networks","Media","$10+ billion (USD)"
"Business Analyst","Business Solutions Analyst","TEEMA
",4.7,"New York"," NY",56000.0,102000.0,79000.0,"201 to 500",2008-01-01 00:00:00.000,"Private","Staffing & Outsourcing","Business Services","$50 to $100 million (USD)"
"Business Analyst","Data Analyst","DMGT
",4.0,"New York"," NY",56000.0,102000.0,79000.0,"5001 to 10000",1896-01-01 00:00:00.000,"Public","Venture Capital & Private Equity","Finance","$1 to $2 billion (USD)"
"Business Analyst","Operations Regulatory Control Change Lead Business Analyst - Vice President","Citi
",3.7,"New York"," NY",56000.0,102000.0,79000.0,"10000+",1812-01-01 00:00:00.000,"Public","Investment Banking & Asset Management","Finance","$10+ billion (USD)"
"Business Analyst","Senior Data Analyst, Insights & Analytics Team [Customer Operations]","Squarespace
",3.4,"New York"," NY",56000.0,102000.0,79000.0,"1001 to 5000",2003-01-01 00:00:00.000,"Private","Internet","Information Technology","Unknown / Non-Applicable"
"Business Analyst","KYC Business System Analyst","MUFG
",3.1,"Jersey City"," NJ",56000.0,102000.0,79000.0,"10000+",1864-01-01 00:00:00.000,"Public","Banks & Credit Unions","Finance","$10+ billion (USD)"
"Business Analyst","Business Analyst","iHeartRadio
",3.2,"New York"," NY",56000.0,102000.0,79000.0,"10000+",1972-01-01 00:00:00.000,"Public","Radio","Media","$5 to $10 billion (USD)"
"Business Analyst","Business/Data Analyst (FP&A)","Two Sigma
",4.4,"New York"," NY",55000.0,78000.0,66500.0,"1001 to 5000",2001-01-01 00:00:00.000,"Private","Investment Banking & Asset Management","Finance","Unknown / Non-Applicable"
"Business Analyst","Business Analyst","Russell Tobin & Associates
",3.5,"Jersey City"," NJ",55000.0,78000.0,66500.0,"51 to 200",2010-01-01 00:00:00.000,"Subsidiary or Business Segment","Staffing & Outsourcing","Business Services","$10 to $25 million (USD)"
"Business Analyst","Business Analyst / Project Manager","Computer Resources of America
",4.2,"New York"," NY",55000.0,78000.0,66500.0,"1 to 50",1992-01-01 00:00:00.000,"Private","IT Services","Information Technology","$500 million to $1 billion (USD)"
"Business Analyst","Business Analyst","Wicket Labs
",4.8,"New York"," NY",55000.0,78000.0,66500.0,"1 to 50",2016-01-01 00:00:00.000,"Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable"
"Business Analyst","Business Analyst","Nasdaq
",3.6,"New York"," NY",55000.0,78000.0,66500.0,"1001 to 5000",1971-01-01 00:00:00.000,"Public","Stock Exchanges","Finance","$2 to $5 billion (USD)"
"Business Analyst","Business Analyst","LanceSoft Inc
",3.8,"New York"," NY",55000.0,78000.0,66500.0,"1001 to 5000",2000-01-01 00:00:00.000,"Private","Staffing & Outsourcing","Business Services","$100 to $500 million (USD)"
"Business Analyst","Integration Business Analyst","Peloton
",3.8,"New York"," NY",55000.0,78000.0,66500.0,"1001 to 5000",2012-01-01 00:00:00.000,"Public","Health, Beauty, & Fitness","Consumer Services","Unknown / Non-Applicable"
"Business Analyst","BSA Analyst III","The Provident Bank
",3.0,"Iselin"," NJ",55000.0,78000.0,66500.0,"501 to 1000",1839-01-01 00:00:00.000,"Subsidiary or Business Segment","Banks & Credit Unions","Finance","$100 to $500 million (USD)"
"Business Analyst","Business Analysis","JPMorgan Chase
",3.9,"New York"," NY",55000.0,78000.0,66500.0,"10000+",1799-01-01 00:00:00.000,"Public","Investment Banking & Asset Management","Finance","$10+ billion (USD)"
"Business Analyst","Business Analyst","Barclays
",3.8,"Whippany"," NJ",55000.0,78000.0,66500.0,"10000+",1690-01-01 00:00:00.000,"Public","Banks & Credit Unions","Finance","$10+ billion (USD)"
"Business Analyst","Business Analyst","Riskcare
",3.5,"New York"," NY",55000.0,78000.0,66500.0,"51 to 200",1994-01-01 00:00:00.000,"Private","Consulting","Business Services","$5 to $10 million (USD)"
"Business Analyst","Business Analyst","FADEL
",4.5,"New York"," NY",55000.0,78000.0,66500.0,"51 to 200",2003-01-01 00:00:00.000,"Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable"
"Business Analyst","Business Analyst","CyberCoders
",4.2,"New York"," NY",55000.0,78000.0,66500.0,"201 to 500",1999-01-01 00:00:00.000,"Subsidiary or Business Segment","Staffing & Outsourcing","Business Services","$100 to $500 million (USD)"
"Business Analyst","Business Analyst","Black Systems LLC
",4.4,"New York"," NY",55000.0,78000.0,66500.0,"201 to 500",2007-01-01 00:00:00.000,"Private","Computer Hardware & Software","Information Technology","$25 to $50 million (USD)"
"Business Analyst","Business Analyst","EZOPS
",3.8,"New York"," NY",55000.0,78000.0,66500.0,"51 to 200",2013-01-01 00:00:00.000,"Private","Financial Transaction Processing","Finance","Unknown / Non-Applicable"
"Business Analyst","Radiology Systems Analyst","Memorial Sloan-Kettering
",3.9,"New York"," NY",55000.0,78000.0,66500.0,"10000+",1884-01-01 00:00:00.000,"Nonprofit Organization","Health Care Services & Hospitals","Health Care","$2 to $5 billion (USD)"
"Business Analyst","Business Analyst","The Alexander Group (AZ)
",3.9,"New York"," NY",55000.0,78000.0,66500.0,"51 to 200",1985-01-01 00:00:00.000,"Private","Consulting","Business Services","Unknown / Non-Applicable"
"Business Analyst","Business Analyst","Marsh & McLennan Companies, Inc.
",3.4,"Hoboken"," NJ",55000.0,78000.0,66500.0,"10000+",1871-01-01 00:00:00.000,"Public","Insurance Agencies & Brokerages","Insurance","$10+ billion (USD)"
"Business Analyst","Business Analyst","XDuce
",4.0,"New York"," NY",55000.0,78000.0,66500.0,"1 to 50",2006-01-01 00:00:00.000,"Private","IT Services","Information Technology","$1 to $5 million (USD)"
"Business Analyst","Business Analyst","Citi
",3.7,"New York"," NY",55000.0,78000.0,66500.0,"10000+",1812-01-01 00:00:00.000,"Public","Investment Banking & Asset Management","Finance","$10+ billion (USD)"
"Business Analyst","Business Analyst","Capstone
",3.3,"New York"," NY",55000.0,78000.0,66500.0,"51 to 200",2007-01-01 00:00:00.000,"Private","Investment Banking & Asset Management","Finance","Unknown / Non-Applicable"
"Business Analyst","Business Analyst","UBS
",3.6,"Weehawken"," NJ",55000.0,78000.0,66500.0,"10000+",1862-01-01 00:00:00.000,"Public","Investment Banking & Asset Management","Finance","$10+ billion (USD)"
"Business Analyst","Application Systems Engineer 4 - Insight Analyst and Reporting","Wells Fargo
",3.6,"New York"," NY",55000.0,78000.0,66500.0,"10000+",1852-01-01 00:00:00.000,"Public","Banks & Credit Unions","Finance","$10+ billion (USD)"
"Business Analyst","Market Research & Insights Analyst - Healthline","Healthline Media
",3.5,"New York"," NY",81000.0,159000.0,120000.0,"201 to 500",2006-01-01 00:00:00.000,"Private","News Outlet","Media","$50 to $100 million (USD)"
"Business Analyst","Business Analyst","Paris Baguette
",2.7,"Moonachie"," NJ",81000.0,159000.0,120000.0,"1001 to 5000",1986-01-01 00:00:00.000,"Private","Fast-Food & Quick-Service Restaurants","Restaurants, Bars & Food Services","$50 to $100 million (USD)"
"Business Analyst","Ecommerce Business Analyst","David Yurman
",2.8,"New York"," NY",81000.0,159000.0,120000.0,"1001 to 5000",1980-01-01 00:00:00.000,"Private","Beauty & Personal Accessories Stores","Retail","Unknown / Non-Applicable"
"Business Analyst","Business Analyst","Zealogics.com
",4.3,"New York"," NY",81000.0,159000.0,120000.0,"201 to 500",2012-01-01 00:00:00.000,"Private","IT Services","Information Technology","$10 to $25 million (USD)"
"Business Analyst","TGS Central Teams Business Partner - Supply Chain Planning Lead","BD
",3.6,"Franklin Lakes"," NJ",81000.0,159000.0,120000.0,"10000+",1897-01-01 00:00:00.000,"Public","Health Care Products Manufacturing","Manufacturing","$10+ billion (USD)"
"Business Analyst","Business Analyst","JPMorgan Chase
",3.9,"Jersey City"," NJ",81000.0,159000.0,120000.0,"10000+",1799-01-01 00:00:00.000,"Public","Investment Banking & Asset Management","Finance","$10+ billion (USD)"
"Business Analyst","Business Analyst","Munich Re
",3.7,"New York"," NY",81000.0,159000.0,120000.0,"5001 to 10000",1880-01-01 00:00:00.000,"Public","Insurance Carriers","Insurance","$10+ billion (USD)"
"Business Analyst","Business Process Analyst","The Resource Collaborative
",5.0,"New York"," NY",81000.0,159000.0,120000.0,"1 to 50",2011-01-01 00:00:00.000,"Private","Staffing & Outsourcing","Business Services","Unknown / Non-Applicable"
"Business Analyst","Business Analyst","MassMutual
",3.7,"New York"," NY",81000.0,159000.0,120000.0,"5001 to 10000",1851-01-01 00:00:00.000,"Private","Insurance Carriers","Insurance","$10+ billion (USD)"
"Business Analyst","Epic Certified Revenue Cycle Analyst","Dynamic Computing Services
",4.7,"New York"," NY",81000.0,159000.0,120000.0,"51 to 200",1990-01-01 00:00:00.000,"Private","IT Services","Information Technology","$10 to $25 million (USD)"
"Business Analyst","Business Analyst","Delv Global
",4.6,"New York"," NY",81000.0,159000.0,120000.0,"1 to 50",2007-01-01 00:00:00.000,"Private","Investment Banking & Asset Management","Finance","Unknown / Non-Applicable"
"Business Analyst","Business Analyst","Signature Consultants
",3.6,"Jersey City"," NJ",81000.0,159000.0,120000.0,"1001 to 5000",1997-01-01 00:00:00.000,"Private","Staffing & Outsourcing","Business Services","$100 to $500 million (USD)"
"Business Analyst","Salesforce Business Systems Analyst, Advertising","Roku
",3.9,"New York"," NY",81000.0,159000.0,120000.0,"1001 to 5000",2002-01-01 00:00:00.000,"Public","IT Services","Information Technology","$500 million to $1 billion (USD)"
"Business Analyst","Business Analyst","United IT Solutions
",3.8,"New York"," NY",81000.0,159000.0,120000.0,"1 to 50",2010-01-01 00:00:00.000,"Private","Consulting","Business Services","$1 to $5 million (USD)"
"Business Analyst","Business Analyst","TSR Consulting
",3.6,"New York"," NY",81000.0,159000.0,120000.0,"201 to 500",1969-01-01 00:00:00.000,"Public","Staffing & Outsourcing","Business Services","$50 to $100 million (USD)"
"Business Analyst","AVP Markets Execution Business Analyst - Project Manager","Barclays Bank
",3.8,"New York"," NY",81000.0,159000.0,120000.0,"10000+",1690-01-01 00:00:00.000,"Public","Banks & Credit Unions","Finance","$10+ billion (USD)"
"Business Analyst","Business Analyst","Veeva Systems
",3.5,"New York"," NY",81000.0,159000.0,120000.0,"1001 to 5000",2007-01-01 00:00:00.000,"Public","Enterprise Software & Network Solutions","Information Technology","$500 million to $1 billion (USD)"
"Business Analyst","Business Analyst","Eliassen Group
",4.2,"New York"," NY",81000.0,159000.0,120000.0,"1001 to 5000",1989-01-01 00:00:00.000,"Private","Staffing & Outsourcing","Business Services","$100 to $500 million (USD)"
"Business Analyst","Business Analyst","Mitchell Martin
",4.1,"New York"," NY",81000.0,159000.0,120000.0,"501 to 1000",1984-01-01 00:00:00.000,"Private","Staffing & Outsourcing","Business Services","$100 to $500 million (USD)"
"Business Analyst","Business Systems Analyst","M&T Bank Corporation
",3.3,"New York"," NY",85000.0,135000.0,110000.0,"10000+",1856-01-01 00:00:00.000,"Public","Banks & Credit Unions","Finance","$5 to $10 billion (USD)"
"Business Analyst","Senior Analyst, Customer Success Operations","Brandwatch
",3.6,"New York"," NY",85000.0,135000.0,110000.0,"501 to 1000",2007-01-01 00:00:00.000,"Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable"
"Business Analyst","Business Analyst","Marsh
",3.5,"Hoboken"," NJ",85000.0,135000.0,110000.0,"10000+",1871-01-01 00:00:00.000,"Subsidiary or Business Segment","Insurance Agencies & Brokerages","Insurance","$1 to $2 billion (USD)"
"Business Analyst","Business Analyst","RMS Computer Corp.
",3.0,"New York"," NY",85000.0,135000.0,110000.0,"201 to 500",1985-01-01 00:00:00.000,"Private","Computer Hardware & Software","Information Technology","$25 to $50 million (USD)"
"Business Analyst","Business Analyst","The Accuro Group
",3.0,"New York"," NY",85000.0,135000.0,110000.0,"201 to 500",2003-01-01 00:00:00.000,"Private","Staffing & Outsourcing","Business Services","Unknown / Non-Applicable"
"Business Analyst","Senior Business Analyst, Platform Services","Medidata Solutions
",4.3,"New York"," NY",85000.0,135000.0,110000.0,"1001 to 5000",1999-01-01 00:00:00.000,"Public","Enterprise Software & Network Solutions","Information Technology","$500 million to $1 billion (USD)"
"Business Analyst","Business Analyst","Ampcus Incorporated
",3.9,"New York"," NY",85000.0,135000.0,110000.0,"501 to 1000",2004-01-01 00:00:00.000,"Private","Consulting","Business Services","$50 to $100 million (USD)"
"Business Analyst","Business Analyst, Delivery Ops","Amazon
",3.9,"New York"," NY",85000.0,135000.0,110000.0,"10000+",1994-01-01 00:00:00.000,"Public","Internet","Information Technology","$10+ billion (USD)"
"Business Analyst","Technical Business Analyst - Contract Role","Mitchell Martin
",4.1,"New York"," NY",85000.0,135000.0,110000.0,"501 to 1000",1984-01-01 00:00:00.000,"Private","Staffing & Outsourcing","Business Services","$100 to $500 million (USD)"
"Business Analyst","Business Data Analyst","Xoriant Corporation
",3.6,"Jersey City"," NJ",85000.0,135000.0,110000.0,"1001 to 5000",1990-01-01 00:00:00.000,"Private","IT Services","Information Technology","$100 to $500 million (USD)"
"Business Analyst","Business Analyst","HUB International
",3.5,"New York"," NY",85000.0,135000.0,110000.0,"10000+",1998-01-01 00:00:00.000,"Private","Insurance Agencies & Brokerages","Insurance","$1 to $2 billion (USD)"
"Business Analyst","Business Analyst","BBR Partners
",3.8,"New York"," NY",85000.0,135000.0,110000.0,"51 to 200",2000-01-01 00:00:00.000,"Private","Investment Banking & Asset Management","Finance","Unknown / Non-Applicable"
"Business Analyst","Revenue Ops Analyst","SmartLinx Solutions
",3.5,"Iselin"," NJ",85000.0,135000.0,110000.0,"51 to 200",2000-01-01 00:00:00.000,"Private","Enterprise Software & Network Solutions","Information Technology","$25 to $50 million (USD)"
"Business Analyst","Business Analyst","Ross Stores
",3.3,"New York"," NY",85000.0,135000.0,110000.0,"10000+",1957-01-01 00:00:00.000,"Public","Department, Clothing, & Shoe Stores","Retail","$10+ billion (USD)"
"Business Analyst","Analyst - Business","AMC Networks
",3.4,"New York"," NY",85000.0,135000.0,110000.0,"1001 to 5000",2006-01-01 00:00:00.000,"Public","TV Broadcast & Cable Networks","Media","$2 to $5 billion (USD)"
"Business Analyst","Business Analyst","EDI Staffing
",4.6,"New York"," NY",85000.0,135000.0,110000.0,"51 to 200",1994-01-01 00:00:00.000,"Private","Staffing & Outsourcing","Business Services","$10 to $25 million (USD)"
"Business Analyst","Business Analyst","HSBC
",3.7,"New York"," NY",85000.0,135000.0,110000.0,"10000+",1865-01-01 00:00:00.000,"Public","Banks & Credit Unions","Finance","$10+ billion (USD)"
"Business Analyst","Senior Business Analyst","Delv
",4.6,"New York"," NY",85000.0,135000.0,110000.0,"1 to 50",2007-01-01 00:00:00.000,"Private","Investment Banking & Asset Management","Finance","Unknown / Non-Applicable"
"Business Analyst","Business Analyst","DATA Inc.
",4.3,"New York"," NY",85000.0,135000.0,110000.0,"501 to 1000",1983-01-01 00:00:00.000,"Private","IT Services","Information Technology","$50 to $100 million (USD)"
"Business Analyst","Business Analyst","Apex Systems
",3.8,"New York"," NY",45000.0,82000.0,63500.0,"1001 to 5000",1995-01-01 00:00:00.000,"Subsidiary or Business Segment","Staffing & Outsourcing","Business Services","$2 to $5 billion (USD)"
"Business Analyst","Business Analyst","L&T Infotech
",3.5,"Jersey City"," NJ",45000.0,82000.0,63500.0,"10000+",1997-01-01 00:00:00.000,"Public","IT Services","Information Technology","Unknown / Non-Applicable"
"Business Analyst","Senior Business Analyst","emids
",3.7,"New York"," NY",45000.0,82000.0,63500.0,"1001 to 5000",1999-01-01 00:00:00.000,"Private","IT Services","Information Technology","$100 to $500 million (USD)"
"Business Analyst","E-Commerce Business Analyst","Adorama
",4.1,"New York"," NY",45000.0,82000.0,63500.0,"501 to 1000",1979-01-01 00:00:00.000,"Private","Consumer Electronics & Appliances Stores","Retail","$25 to $50 million (USD)"
"Business Analyst","Business Analyst","Wolters Kluwer
",3.2,"New York"," NY",45000.0,82000.0,63500.0,"10000+",1836-01-01 00:00:00.000,"Public","Consulting","Business Services","$2 to $5 billion (USD)"
"Business Analyst","Business Analyst","Genesis10
",4.0,"New York"," NY",45000.0,82000.0,63500.0,"1001 to 5000",1999-01-01 00:00:00.000,"Private","Consulting","Business Services","$100 to $500 million (USD)"
"Business Analyst","Senior Business Analyst (Front Office)","SMBC Group
",3.4,"New York"," NY",45000.0,82000.0,63500.0,"10000+",1996-01-01 00:00:00.000,"Public","Investment Banking & Asset Management","Finance","$10+ billion (USD)"
"Business Analyst","Business Analyst","Atlas Data Systems
",3.2,"New York"," NY",45000.0,82000.0,63500.0,"51 to 200",1999-01-01 00:00:00.000,"Private","Staffing & Outsourcing","Business Services","$10 to $25 million (USD)"
"Business Analyst","Business Systems Analyst","Prudential
",3.6,"Newark"," NJ",45000.0,82000.0,63500.0,"10000+",1875-01-01 00:00:00.000,"Public","Investment Banking & Asset Management","Finance","$10+ billion (USD)"
"Business Analyst","Business Analyst","TechProjects
",4.8,"New York"," NY",45000.0,82000.0,63500.0,"1 to 50",2011-01-01 00:00:00.000,"Private","IT Services","Information Technology","Unknown / Non-Applicable"
"Business Analyst","Business Analyst","Tata Consultancy Services
",3.8,"Newark"," NJ",45000.0,82000.0,63500.0,"10000+",1968-01-01 00:00:00.000,"Public","Computer Hardware & Software","Information Technology","$10+ billion (USD)"
"Business Analyst","Business Analyst","Arch Capital Group Ltd.
",3.5,"Jersey City"," NJ",45000.0,82000.0,63500.0,"1001 to 5000",2000-01-01 00:00:00.000,"Public","Insurance Carriers","Insurance","$10+ billion (USD)"
"Business Analyst","Business Analyst","NJF Global Holdings
",4.2,"New York"," NY",45000.0,82000.0,63500.0,"51 to 200",2003-01-01 00:00:00.000,"Private","Staffing & Outsourcing","Business Services","$10 to $25 million (USD)"
"Business Analyst","Business Analyst","Eclaro
",3.5,"New York"," NY",45000.0,82000.0,63500.0,"501 to 1000",1999-01-01 00:00:00.000,"Private","Staffing & Outsourcing","Business Services","$25 to $50 million (USD)"
"Business Analyst","Senior Business Analyst","S&P Global
",3.8,"New York"," NY",45000.0,82000.0,63500.0,"10000+",1888-01-01 00:00:00.000,"Public","Financial Analytics & Research","Finance","$5 to $10 billion (USD)"
"Business Analyst","Business Analyst","Guy Carpenter
",3.4,"Hoboken"," NJ",45000.0,82000.0,63500.0,"1001 to 5000",1922-01-01 00:00:00.000,"Subsidiary or Business Segment","Insurance Agencies & Brokerages","Insurance","$100 to $500 million (USD)"
"Business Analyst","Business Analyst","Synechron
",3.6,"New York"," NY",45000.0,82000.0,63500.0,"5001 to 10000",2001-01-01 00:00:00.000,"Private","IT Services","Information Technology","$100 to $500 million (USD)"
"Business Analyst","Business Analyst","Municipal Credit Union
",2.7,"New York"," NY",45000.0,82000.0,63500.0,"501 to 1000",1916-01-01 00:00:00.000,"Nonprofit Organization","Banks & Credit Unions","Finance","$50 to $100 million (USD)"
"Business Analyst","Business Analyst","Mills College
",3.7,"New York"," NY",45000.0,82000.0,63500.0,"201 to 500",1852-01-01 00:00:00.000,"College / University","Colleges & Universities","Education","$50 to $100 million (USD)"
"Business Analyst","Business Analyst","Infomatics Corp
",4.1,"Weehawken"," NJ",45000.0,82000.0,63500.0,"51 to 200",2005-01-01 00:00:00.000,"Private","Consulting","Business Services","$10 to $25 million (USD)"
"Business Analyst","Senior Business Systems Analyst","Centene
",3.3,"Rego Park"," NY",45000.0,82000.0,63500.0,"10000+",1984-01-01 00:00:00.000,"Public","Insurance Carriers","Insurance","$10+ billion (USD)"
"Business Analyst","Sr. Business Analyst (Capital Markets)","Synechron
",3.6,"New York"," NY",45000.0,82000.0,63500.0,"5001 to 10000",2001-01-01 00:00:00.000,"Private","IT Services","Information Technology","$100 to $500 million (USD)"
"Business Analyst","Data Analyst","Point72
",3.9,"New York"," NY",48000.0,92000.0,70000.0,"1001 to 5000",2014-01-01 00:00:00.000,"Private","Investment Banking & Asset Management","Finance","Unknown / Non-Applicable"
"Business Analyst","Business Analyst","Diverse Lynx
",3.9,"New York"," NY",48000.0,92000.0,70000.0,"501 to 1000",2002-01-01 00:00:00.000,"Private","IT Services","Information Technology","$100 to $500 million (USD)"
"Business Analyst","Senior Business Analyst","Brown Brothers Harriman
",3.3,"New York"," NY",48000.0,92000.0,70000.0,"1001 to 5000",1818-01-01 00:00:00.000,"Private","Investment Banking & Asset Management","Finance","$2 to $5 billion (USD)"
"Business Analyst","Business Analyst","Tata Consultancy Services (North America)
",3.7,"Newark"," NJ",48000.0,92000.0,70000.0,"10000+",1968-01-01 00:00:00.000,"Subsidiary or Business Segment","IT Services","Information Technology","$10+ billion (USD)"
"Business Analyst","Business Analyst","Iconma, L.L.C.
",3.6,"Newark"," NJ",48000.0,92000.0,70000.0,"1001 to 5000",2000-01-01 00:00:00.000,"Private","Staffing & Outsourcing","Business Services","$100 to $500 million (USD)"
"Business Analyst","Senior Business Analyst","Mitchell Martin
",4.1,"New York"," NY",48000.0,92000.0,70000.0,"501 to 1000",1984-01-01 00:00:00.000,"Private","Staffing & Outsourcing","Business Services","$100 to $500 million (USD)"
"Business Analyst","Business Analyst","Seven Seven Softwares
",3.1,"New York"," NY",48000.0,92000.0,70000.0,"201 to 500",1996-01-01 00:00:00.000,"Public","IT Services","Information Technology","$10 to $25 million (USD)"
"Business Analyst","Business Analyst","Creative Data Resources
",5.0,"New York"," NY",48000.0,92000.0,70000.0,"1 to 50",1992-01-01 00:00:00.000,"Private","Staffing & Outsourcing","Business Services","Unknown / Non-Applicable"
"Business Analyst","Business Analyst","HHAeXchange
",3.4,"New York"," NY",48000.0,92000.0,70000.0,"51 to 200",2008-01-01 00:00:00.000,"Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable"
"Business Analyst","Business Analyst","Green Key Resources
",4.5,"New York"," NY",48000.0,92000.0,70000.0,"201 to 500",2004-01-01 00:00:00.000,"Private","Staffing & Outsourcing","Business Services","Unknown / Non-Applicable"
"Business Analyst","Business Analyst","V.L.S. Systems
",3.3,"New York"," NY",48000.0,92000.0,70000.0,"201 to 500",2006-01-01 00:00:00.000,"Private","Consulting","Business Services","$25 to $50 million (USD)"
"Business Analyst","Business Analyst - Data Governance","Rockstar Games
",4.0,"New York"," NY",48000.0,92000.0,70000.0,"1001 to 5000",1998-01-01 00:00:00.000,"Subsidiary or Business Segment","Video Games","Media","$10 to $25 million (USD)"
"Business Analyst","Business Analyst","Capgemini
",3.8,"New York"," NY",48000.0,92000.0,70000.0,"10000+",1967-01-01 00:00:00.000,"Public","Enterprise Software & Network Solutions","Information Technology","$10+ billion (USD)"
"Business Analyst","Senior Business Analyst","The New School
",3.7,"New York"," NY",48000.0,92000.0,70000.0,"1001 to 5000",1919-01-01 00:00:00.000,"College / University","Colleges & Universities","Education","$100 to $500 million (USD)"
